,标题,学校,门类/专业,招生人数,发布时间,链接
915,上海第二工业大学预调剂系统已经开放，材料、环境、化学化工等方向,上海二工大,工学 -> 工程[专]  -> 材料工程,60,2020-02-26 07:50,http://muchong.com/t-14097543-1
916,上海海洋大学招收食品科学与工程专业调剂研究生,上海海洋大学,工学 -> 食品科学与工程  ,6,2020-02-26 07:09,http://muchong.com/t-14097494-1
917,安徽工业大学接收调剂研究生,安徽工业大学,工学 -> 治金工程  -> 有色金属治金,4,2020-02-26 06:49,http://muchong.com/t-14097482-1
918,塔里木大学接收调剂研究生,塔里木大学,工学 -> 化学工程与技术  -> 化学工艺,0,2020-02-26 02:16,http://muchong.com/t-14097428-1
919,上海工程技术大学材料工程学院上海千人课题组招收调剂硕士研究生,上海工程,工学 -> 材料科学与工程  -> 材料学,5,2020-02-26 01:54,http://muchong.com/t-14097413-1
920,大连工大接收调剂研究生,大连工大,工学 -> 材料科学与工程  -> 材料加工工程,3,2020-02-26 01:52,http://muchong.com/t-14097408-1
921,湖南科大接收调剂研究生,湖南科大,工学 -> 机械工程  -> 机械制造及其自动化,6,2020-02-26 01:12,http://muchong.com/t-14097373-1
922,2020年度上海海洋大学食品科学与工程方向孙言春老师实验室考研调剂信息,上海海洋大学,工学   ,2,2020-02-26 00:54,http://muchong.com/t-14097348-1
923,招收材料第一性原理计算与表征方向调剂生1-2名,哈工程,工学 -> 材料科学与工程  -> 材料加工工程,2,2020-02-26 00:18,http://muchong.com/t-14097264-1
924,青岛科技大学化学院郭老师招收2020年化学化工材料相关专业硕士调剂生,青岛科大,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-26 00:10,http://muchong.com/t-14097245-1
925,湖北工业大学 生物质多功能材料实验室招收调剂生信息（化学 材料 轻工类）,湖北工业大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-25 23:30,http://muchong.com/t-14097148-1
926,重庆科技学院先进焊接与微连接课题组招收调剂啦,重庆科技学院,工学 -> 工程[专]  -> 材料工程,2,2020-02-25 23:10,http://muchong.com/t-14097106-1
927,上海工程技术大学化学化工学院,上海工程,工学 -> 化学工程与技术  ,2,2020-02-25 23:05,http://muchong.com/t-14097096-1
928,大连海洋大学应用海洋学研究所2020年研究生招生、调剂信息（海洋技术、物理海洋学等）,大连海洋大学,工学 -> 电子科学与技术  ,12,2020-02-25 22:53,http://muchong.com/t-14097068-1
929,2020河南师范大学光学工程专业接收学术型、专业型研究生调剂,河南师大,工学 -> 光学工程  ,0,2020-02-25 22:47,http://muchong.com/t-14097049-1
930,福建农林大学材料工程学院木材科学系招生,福建农林大学,工学 -> 林业工程  -> 木材科学与技术,4,2020-02-25 21:38,http://muchong.com/t-14096878-1
931,东北农业大学应用化学系硕士调剂信息,东北农业大学,工学 -> 轻工技术与工程  ,3,2020-02-25 21:28,http://muchong.com/t-14096859-1
932,北京工商大学--钱立军教授阻燃材料课题组--接收2020年硕士研究生预调剂信息,北京工商大学,工学 -> 材料科学与工程  ,7,2020-02-25 21:25,http://muchong.com/t-14096847-1
933,南昌航空大学光纤传感与光通信团队招收硕士调剂生,南昌航空大学,工学 -> 光学工程  -> 测试计量技术及仪器,5,2020-02-25 21:19,http://muchong.com/t-14096830-1
934,大连工业大学招收材料、食品类调剂,大连工大,工学 -> 材料科学与工程  ,3,2020-02-25 21:18,http://muchong.com/t-14096827-1
935,江苏科技大学材料学院招收硕士生,江苏科大,工学 -> 材料科学与工程  ,2,2020-02-25 21:18,http://muchong.com/t-14096824-1
936,沈阳化工大学弹性体重点实验室招收2020级硕士研究生6人,沈阳化工,工学 -> 化学  -> 高分子化学与物理,6,2020-02-25 21:01,http://muchong.com/t-14096781-1
937,五邑大学新能源材料课题组接收物理、材料、化学类调剂研究生,五邑大学,工学 -> 材料科学与工程  -> 材料物理与化学,6,2020-02-25 20:49,http://muchong.com/t-14096754-1
938,辽宁石油化工大学 接收化工专业调剂,辽宁石化,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-25 20:40,http://muchong.com/t-14096721-1
939,华东交通大学接收调剂研究生,华东交通大学,工学 -> 光学工程  ,0,2020-02-25 20:32,http://muchong.com/t-14096694-1
940,广东省江门市五邑大学纺织材料与工程学院接收调剂研究生,五邑大学,工学 -> 纺织科学与工程  -> 纺织工程,20,2020-02-25 20:30,http://muchong.com/t-14096691-1
941,河南理工大学化学化工学院接收调剂研究生,河南理工,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-25 20:29,http://muchong.com/t-14096687-1
942,国家A区，数二，环境学科调剂信息,齐齐哈尔大学,工学 -> 环境科学与工程  -> 环境科学,2,2020-02-25 20:22,http://muchong.com/t-14096667-1
943,河南理工大学接收调剂研究生,河南理工,工学 -> 材料科学与工程  ,40,2020-02-25 20:21,http://muchong.com/t-14096661-1
944,西南科技大学环境友好能源材料国家重点实验室薄膜材料与器件课题组接收调剂研究生2020,西南科大,工学 -> 材料科学与工程  ,10,2020-02-25 20:15,http://muchong.com/t-14096652-1
945,暂停招生,山东农大,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-02-25 20:00,http://muchong.com/t-14096620-1
946,济南大学化学化工学院接收调剂研究生（化工学硕）,济南大学,工学   ,1,2020-02-25 19:34,http://muchong.com/t-14096566-1
947,天津理工大学光电信息功能材料与新能源材料课题组接收调剂生3-4名,天津理工,工学 -> 材料科学与工程  ,3,2020-02-25 18:50,http://muchong.com/t-14096466-1
948,北京工商大学高分子材料专业接收2020硕士预调剂,北京工商大学,工学   ,4,2020-02-25 18:48,http://muchong.com/t-14096462-1
949,2020西南石油大学新能源与材料学院接收调剂生,西南石油,工学 -> 材料科学与工程  ,2,2020-02-25 18:39,http://muchong.com/t-14096442-1
950,招收冶金、化工、环境方向调剂生,,工学 -> 环境科学与工程  ,2,2020-02-25 18:35,http://muchong.com/t-14096425-1
951,五邑大学接收材料、化学类调剂研究生,五邑大学,工学 -> 材料科学与工程  ,2,2020-02-25 18:34,http://muchong.com/t-14096420-1
952,河南理工接收调剂研究生,河南理工,工学   ,0,2020-02-25 18:24,http://muchong.com/t-14096404-1
953,南昌航空大学无损检测技术教育部重点实验室电磁检测实验室,南昌航空大学,工学 -> 工程[专]  -> 仪器仪表工程,5,2020-02-25 18:16,http://muchong.com/t-14096385-1
954,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 材料科学与工程  -> 材料学,8,2020-02-25 18:07,http://muchong.com/t-14096360-1
955,中国地质大学（北京） 材料学院 房明浩教授接收2020届材料类调剂考研学生,中国地质大学（北京）,工学 -> 材料科学与工程  ,0,2020-02-25 17:55,http://muchong.com/t-14096338-1
956,南昌航空大学无损检测技术教育部重点实验室电磁检测实验室付跃文老师课题组,南昌航空大学,工学 -> 工程[专]  -> 仪器仪表工程,5,2020-02-25 17:52,http://muchong.com/t-14096323-1
957,2020年南昌航空大学能源催化与耐高温材料科研团队招收物理化学、材料与化工类研究生,南昌航空大学,工学   ,30,2020-02-25 17:51,http://muchong.com/t-14096317-1
958,2020年南昌航空大学能源催化与耐高温材料科研团队招收物理化学、材料与化工类研究生,南昌航空大学,工学 -> 化学工程与技术  -> 应用化学,0,2020-02-25 17:50,http://muchong.com/t-14096314-1
959,上海第二工业大学新能源材料课题组招收硕士研究生调剂生,上海二工大,工学 -> 材料科学与工程  ,4,2020-02-25 17:42,http://muchong.com/t-14096278-1
960,赣南师范学院接收调剂研究生,赣南师范学院,工学 -> 工程[专]  -> 生物工程,2,2020-02-25 17:32,http://muchong.com/t-14096246-1
961,2020年河南理工大学张辉招收矿业工程调剂硕士研究生,河南理工,工学 -> 矿业工程  -> 采矿工程,2,2020-02-25 17:16,http://muchong.com/t-14096196-1
962,上海工程接收调剂研究生,上海工程,工学 -> 机械工程  -> 车辆工程,50,2020-02-25 16:47,http://muchong.com/t-14096116-1
963,淮阴工学院招收调剂研究生,淮阴工学院,工学 -> 化学工程与技术  -> 生物化工,10,2020-02-25 16:44,http://muchong.com/t-14096105-1
964,淮阴工学院招收调剂研究生,淮阴工学院,工学 -> 化学工程与技术  -> 生物化工,10,2020-02-25 16:43,http://muchong.com/t-14096106-1
965,河南理工大学接受化学材料专业调剂，待遇优厚,河南理工,工学 -> 化学工程与技术  -> 应用化学,3,2020-02-25 16:36,http://muchong.com/t-14096077-1
966,2020安徽工业大学冶金工程学院炼铁新技术团队招收调剂生3-5名,安徽工业大学,工学 -> 治金工程  -> 钢铁冶金,3,2020-02-25 16:30,http://muchong.com/t-14096055-1
967,成都理工大学油气田开发工程硕士预调剂,成都理工,工学 -> 石油与天然气工程  -> 油气田开发工程,1,2020-02-25 16:28,http://muchong.com/t-14096047-1
968,济南大学杜鹏老师招收无机非金属材料专业专硕调剂生,济南大学,工学 -> 材料科学与工程  -> 材料学,1,2020-02-25 16:26,http://muchong.com/t-14096039-1
969,北京工商大学材料表面与界面/聚合物功能薄膜团队接收考研调剂,北京工商大学,工学 -> 材料科学与工程  -> 材料学,10,2020-02-25 16:26,http://muchong.com/t-14096038-1
970,江苏大学雍阳春教授课题组招收调剂研究生,江苏大学,工学 -> 环境科学与工程  ,7,2020-02-25 16:12,http://muchong.com/t-14095987-1
971,齐鲁工业大学（山东省科学院）-国家重点实验室-刘温霞教授课题组招收调剂研究生,山东轻工,工学   ,8,2020-02-25 15:55,http://muchong.com/t-14095924-1
972,东北农业大学应用化学系招收调剂考生一名,东北农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-02-25 15:44,http://muchong.com/t-14095890-1
973,天津商业大学王素英教授课题组接收调剂研究生（生物、农学、药学类专业）,天津商业大学,工学 -> 轻工技术与工程  -> 发酵工程,5,2020-02-25 15:44,http://muchong.com/t-14095889-1
974,青岛大学物理科学学院“材料与微纳器件”课题组招收调剂硕士生,青岛大学,工学 -> 材料科学与工程  ,20,2020-02-25 15:03,http://muchong.com/t-14095737-1
975,接收高分子材料专业硕士研究生2名,天津工大,工学 -> 材料科学与工程  -> 材料学,2,2020-02-25 15:03,http://muchong.com/t-14095735-1
976,浙江万里学院国家优青课题组招收调剂生（同时招收上海海洋大学联培研究生）,万里学院,工学 -> 生物工程  ,4,2020-02-25 14:57,http://muchong.com/t-14095711-1
977,西南科技大学-功能复合材料科研团队研究生,西南科大,工学 -> 化学  ,5,2020-02-25 14:56,http://muchong.com/t-14095710-1
978,大连工业大学材料专业方向接受研究生调剂,大连工大,工学 -> 工程[专]  -> 材料工程,4,2020-02-25 14:42,http://muchong.com/t-14095662-1
979,集美大学机械与能源工程学院纪志飞老师接受调剂研究生(学术型研究生),集美大学,工学 -> 机械工程  -> 机械制造及其自动化,1,2020-02-25 14:37,http://muchong.com/t-14095648-1
980,集美大学机械与能源工程学院纪志飞老师接受调剂研究生(学术型研究生),集美大学,工学 -> 机械工程  -> 机械电子工程,1,2020-02-25 14:37,http://muchong.com/t-14095648-1
981,燕山大学接收调剂研究生,燕山大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-25 14:29,http://muchong.com/t-14095613-1
982,武汉科技大学冶金工程专业2020接受调剂信息,武汉科大,工学 -> 治金工程  ,30,2020-02-25 14:24,http://muchong.com/t-14095601-1
983,2020年太原科技大学材料与工程学院焊接工艺与自动控制课题组招收调剂研究生,太原科大,工学 -> 材料科学与工程  -> 材料加工工程,25,2020-02-25 14:06,http://muchong.com/t-14095551-1
984,天津科技大学材料科学与工程专业招收调剂硕士研究生,天津科大,工学 -> 材料科学与工程  ,30,2020-02-25 14:06,http://muchong.com/t-14095548-1
985,仲恺农业工程学院接收调剂研究生,仲恺农业工程学院,工学   ,2,2020-02-25 13:57,http://muchong.com/t-14095510-1
986,2020年 中国地质大学（北京）冯武威副教授招收考研调剂信息,中国地质大学（北京）,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-25 13:51,http://muchong.com/t-14095485-1
987,大连工业大学招收调剂生,大连工大,工学   ,3,2020-02-25 13:47,http://muchong.com/t-14095474-1
988,江苏海洋大学（原淮海工学院）理学院材料科学与工程接受2020研究生调剂,淮海工学院,工学 -> 材料科学与工程  -> 材料学,4,2020-02-25 13:24,http://muchong.com/t-14095377-1
989,辽宁工程职业学院接收调剂研究生,辽宁工程职业学院,工学 -> 力学  -> 工程力学,2,2020-02-25 13:11,http://muchong.com/t-14095338-1
990,天津科技大学化工与材料学院招收调剂考生,天津科大,工学 -> 化学工程与技术  -> 化学工程,30,2020-02-25 12:56,http://muchong.com/t-14095302-1
991,辽宁工程技术大学接收调剂研究生,辽宁工程技术大学,工学 -> 力学  -> 固体力学,2,2020-02-25 12:41,http://muchong.com/t-14095246-1
992,青岛大学物理科学学院“电子信息与新能源器件”课题组招收调剂硕士生,青岛大学,工学 -> 电子科学与技术  -> 微电子学与固体电子学,15,2020-02-25 12:32,http://muchong.com/t-14095208-1
993,青岛大学物理科学学院“电子信息与新能源器件”课题组招收调剂硕士生,青岛大学,工学 -> 电子科学与技术  -> 微电子学与固体电子学,15,2020-02-25 12:31,http://muchong.com/t-14095205-1
994,汕头大学接收调剂研究生,汕头大学,工学   ,3,2020-02-25 12:31,http://muchong.com/t-14095207-1
995,2020燕山大学电气工程学院仪器科学与技术接收研究生调剂,燕山大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,4,2020-02-25 12:30,http://muchong.com/t-14095200-1
996,太原理工大学化学方向需调剂生2人,太原理工,工学 -> 纺织科学与工程  -> 纺织工程,2,2020-02-25 12:27,http://muchong.com/t-14095188-1
997,太原理工大学化学方向需调剂生2人,太原理工,工学 -> 纺织科学与工程  -> 纺织工程,2,2020-02-25 12:27,http://muchong.com/t-14095187-1
998,河北经贸大学李敬招收生物工程专业优秀调剂生,河北经贸,工学 -> 生物工程  ,5,2020-02-25 12:05,http://muchong.com/t-14095102-1
999,南昌航空大学接收调剂研究生,南昌航空大学,工学 -> 航空宇航科学与技术  -> 航空宇航推进理论与工程,5,2020-02-25 12:03,http://muchong.com/t-14095095-1
1000,招收调剂生：全日制（化工，环境，化学，生物，农产品加工，材料等相关专业）均可！,长春工业大学,工学 -> 化学工程与技术  ,5,2020-02-25 12:03,http://muchong.com/t-14095093-1
1001,青岛科技大学化工学院新能源催化实验室招收硕士研究生,青岛科大,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-25 11:59,http://muchong.com/t-14095072-1
1002,南昌航空大学接收调剂研究生,南昌航空大学,工学 -> 光学工程  -> 精密仪器及机械,5,2020-02-25 11:49,http://muchong.com/t-14095032-1
1003,安徽工业大学电气学院沈浩老师课题组需要调剂研究生（学术）,安徽工业大学,工学 -> 电气工程  ,0,2020-02-25 11:47,http://muchong.com/t-14095016-1
1004,太原科大接收调剂研究生,太原科大,工学 -> 材料科学与工程  -> 材料加工工程,5,2020-02-25 11:42,http://muchong.com/t-14094984-1
1005,河南理工大学安全学院李老师课题组2020接受收调剂,河南理工,工学 -> 工程[专]  -> 安全工程,0,2020-02-25 11:41,http://muchong.com/t-14094980-1
1006,招收第一志愿及调剂生（食品，医药，生物，环境，化工，材料，海洋等）均可联系,广东海洋,工学   ,0,2020-02-25 11:34,http://muchong.com/t-14094947-1
1007,欢迎调剂到南昌航空大学周丹老师课题组和南昌大学高分子及能源化学研究院,南昌航空大学,工学 -> 材料科学与工程  -> 材料学,6,2020-02-25 11:30,http://muchong.com/t-14094932-1
1008,安徽理工大学界面科学与材料工程实验室招收调剂1-8名,安徽理工,工学 -> 材料科学与工程  -> 材料物理与化学,8,2020-02-25 11:29,http://muchong.com/t-14094921-1
1009,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-25 11:28,http://muchong.com/t-14094920-1
1010,南昌航空大学仿生智能材料团队招收研究生调剂4名,南昌航空大学,工学 -> 材料科学与工程  -> 材料物理与化学,4,2020-02-25 11:26,http://muchong.com/t-14094898-1
1011,福建农林大学 材料学院 陈孝云 接收化学化工类，材料化学类调剂研究生,福建农林大学,工学   ,5,2020-02-25 11:12,http://muchong.com/t-14094817-1
1012,福建农林大学接收调剂研究生,福建农林大学,工学 -> 环境科学与工程  -> 环境科学,4,2020-02-25 11:09,http://muchong.com/t-14094805-1
1013,福建工程学院材料科学与工程学院接收研究生调剂公告,福建工程学院,工学 -> 材料科学与工程  -> 材料学,8,2020-02-25 10:54,http://muchong.com/t-14094746-1
1014,青岛大学接收调剂研究生,青岛大学,工学 -> 材料科学与工程  -> 材料学,4,2020-02-25 10:53,http://muchong.com/t-14094742-1
1015,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-02-25 10:47,http://muchong.com/t-14094717-1
1016,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-02-25 10:41,http://muchong.com/t-14094690-1
1017,北京石油化工学院接收调剂研究生,北京石油化工学院,工学   ,10,2020-02-25 10:38,http://muchong.com/t-14094673-1
1018,沈阳工业大学辽阳分校石油化工学院招收研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-25 10:30,http://muchong.com/t-14094640-1
1019,福建农林大学接收调剂研究生,福建农林大学,工学 -> 环境科学与工程  -> 环境科学,4,2020-02-25 10:28,http://muchong.com/t-14094625-1
1020,研究生调剂公告――南昌航空大学,南昌航空大学,工学 -> 材料科学与工程  ,10,2020-02-25 10:25,http://muchong.com/t-14094604-1
1021,天津科大接收调剂研究生,天津科大,工学 -> 化学工程与技术  -> 化学工程,0,2020-02-25 10:23,http://muchong.com/t-14094592-1
1022,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,7,2020-02-25 10:16,http://muchong.com/t-14094556-1
1023,招收化工类相关专业2020年硕士调剂生，须考数二,河南理工,工学 -> 化学工程与技术  ,3,2020-02-25 10:04,http://muchong.com/t-14094491-1
1024,2020年五邑大学――先进功能材料团队接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,7,2020-02-25 10:01,http://muchong.com/t-14094480-1
1025,燕山大学焦体峰教授课题组招收2020级化学、化工专业硕士生(学术/专业型）,燕山大学,工学 -> 化学工程与技术  -> 化学工程,8,2020-02-25 09:57,http://muchong.com/t-14094453-1
1026,河北大学招收光学工程专业调剂生（学硕，专硕）,河北大学,工学 -> 光学工程  ,3,2020-02-25 09:54,http://muchong.com/t-14094435-1
1027,太原理工大学廖霖老师课题组招收无机非金属材料及隧道与地下工程方向研究生,太原理工,工学 -> 矿业工程  ,2,2020-02-25 09:32,http://muchong.com/t-14094322-1
1028,太原科大接收调剂研究生,太原科大,工学 -> 材料科学与工程  -> 材料加工工程,5,2020-02-25 09:27,http://muchong.com/t-14094296-1
1029,2020年天然高分子基水凝胶方向招硕士调剂生,青岛大学,工学 -> 材料科学与工程  ,1,2020-02-25 09:23,http://muchong.com/t-14094276-1
1030,天津理工大学化学生物学课题组招收材料类调剂生4-6名,天津理工,工学 -> 材料科学与工程  -> 材料物理与化学,6,2020-02-25 09:21,http://muchong.com/t-14094267-1
1031,河北科技大学 服工专业 接收调剂,河北科技,工学 -> 纺织科学与工程  -> 服装设计与工程,10,2020-02-25 09:14,http://muchong.com/t-14094236-1
1032,江苏大学能动学院招收动力工程及工程热物理相关专业研究生,江苏大学,工学 -> 动力工程及工程热物理  ,2,2020-02-25 09:09,http://muchong.com/t-14094206-1
1033,大连大学接收调剂研究生,大连大学,工学 -> 材料科学与工程  -> 材料物理与化学,1,2020-02-25 08:50,http://muchong.com/t-14094133-1
1034,哈工程接收调剂研究生,哈工程,工学 -> 工程[专]  -> 材料工程,1,2020-02-25 08:31,http://muchong.com/t-14094054-1
1035,大连工业大学 郭静教授团队 材料科学与工程（高分子） 招收考研调剂  必须考数学,大连工大,工学 -> 材料科学与工程  ,20,2020-02-25 08:11,http://muchong.com/t-14093980-1
1036,太原科大接收调剂研究生,太原科大,工学 -> 材料科学与工程  -> 材料加工工程,50,2020-02-25 07:48,http://muchong.com/t-14093930-1
1037,长春工业大学接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-25 07:41,http://muchong.com/t-14093921-1
1038,河南理工接收调剂研究生,河南理工,工学 -> 材料科学与工程  -> 材料学,2,2020-02-25 07:29,http://muchong.com/t-14093904-1
1039,2020年五邑大学――先进功能材料团队接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,7,2020-02-25 07:07,http://muchong.com/t-14093879-1
1040,辽宁石油化工大学丁巍课题组接收调剂研究生,辽宁石化,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-25 07:06,http://muchong.com/t-14093877-1
1041,东北农业大学接收调剂研究生,东北农业大学,工学   ,0,2020-02-25 06:42,http://muchong.com/t-14093865-1
1042,南京航空航天大学接收调剂研究生,南京航空航天大学,工学 -> 力学  -> 流体力学,5,2020-02-25 02:57,http://muchong.com/t-14093821-1
1043,海南大学接收调剂研究生,海南大学,工学 -> 材料科学与工程  -> 材料学,0,2020-02-25 02:23,http://muchong.com/t-14093793-1
1044,接收调剂研究生,,工学 -> 仪器科学与技术  -> 精密仪器及机械,5,2020-02-25 01:45,http://muchong.com/t-14093772-1
1045,陕西师大接收调剂研究生,陕西师大,工学 -> 光学工程  ,10,2020-02-24 23:58,http://muchong.com/t-14093566-1
1046,大连工大接收调剂研究生,大连工大,工学 -> 纺织科学与工程  -> 纺织工程,0,2020-02-24 23:54,http://muchong.com/t-14093557-1
1047,招收调剂研究生,上海工程,工学 -> 化学工程与技术  ,5,2020-02-24 23:01,http://muchong.com/t-14093437-1
1048,接收调剂研究生,,工学   ,1,2020-02-24 22:54,http://muchong.com/t-14093419-1
1049,江苏大学能源与动力工程学院李斌教授课题组招收硕士生3名,江苏大学,工学 -> 动力工程及工程热物理  ,3,2020-02-24 22:36,http://muchong.com/t-14093354-1
1050,广东省江门市五邑大学纺织材料与工程学院接收调剂研究生,五邑大学,工学 -> 纺织科学与工程  ,20,2020-02-24 22:35,http://muchong.com/t-14093353-1
1051,江苏大学接收调剂研究生,江苏大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-24 22:33,http://muchong.com/t-14093349-1
1052,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 生物化工,8,2020-02-24 22:19,http://muchong.com/t-14093313-1
1053,上海工程接收调剂研究生,上海工程,工学 -> 化学工程与技术  ,10,2020-02-24 22:17,http://muchong.com/t-14093307-1
1054,长沙理工大学长江学者杨荣华课题组周怡波老师接收化学，化工，应化调剂生,长沙理工,工学 -> 化学工程与技术  -> 应用化学,3,2020-02-24 22:15,http://muchong.com/t-14093303-1
1055,陕西师大接收调剂研究生,陕西师大,工学 -> 工程[专]  -> 光学工程,10,2020-02-24 22:07,http://muchong.com/t-14093277-1
1056,佛山科学技术学院_机械工程_机电设备过程监测与控制（课题组方向之一）接收调剂,佛山科技学院,工学 -> 机械工程  ,5,2020-02-24 22:01,http://muchong.com/t-14093267-1
1057,化学工程与技术学科 研究生调剂,石河子大学,工学 -> 化学工程与技术  ,5,2020-02-24 21:59,http://muchong.com/t-14093261-1
1058,天津科技大学 化工与材料学院 材料系 欢迎有志学子！,天津科大,工学 -> 材料科学与工程  ,50,2020-02-24 21:39,http://muchong.com/t-14093210-1
1059,燕山大学招收2020级化学、化工专业硕士生,燕山大学,工学 -> 化学工程与技术  ,6,2020-02-24 21:27,http://muchong.com/t-14093181-1
1060,上海电力大学电气  控制 通信 2020研究生调剂信息发布  有兴趣国家电网的首选,上海电力,工学 -> 控制科学与工程  -> 模式识别与智能系统,0,2020-02-24 21:26,http://muchong.com/t-14093170-1
1061,2020年上海大学国家特聘专家杨健教授招收钢铁冶金与金属材料硕士调剂生,上海大学,工学 -> 治金工程  ,4,2020-02-24 21:23,http://muchong.com/t-14093154-1
1062,东北林业大学双一流学科招收2名硕士研究生,东北林大,工学 -> 林业工程  -> 林产化学加工工程,2,2020-02-24 21:20,http://muchong.com/t-14093148-1
1063,北京工商大学接收调剂研究生,北京工商大学,工学 -> 材料科学与工程  -> 材料学,10,2020-02-24 21:12,http://muchong.com/t-14093129-1
1064,北京工商大学接收调剂研究生,北京工商大学,工学 -> 材料科学与工程  -> 材料学,10,2020-02-24 21:12,http://muchong.com/t-14093130-1
1065,华北科技学院省级重点实验室接受调剂,华北科技,工学 -> 机械工程  -> 机械电子工程,2,2020-02-24 21:11,http://muchong.com/t-14093127-1
1066,河南理工大学2020硕士招生接受调剂，（学硕）,河南理工,工学 -> 机械工程  -> 机械电子工程,10,2020-02-24 21:00,http://muchong.com/t-14093089-1
1067,福建农林大学接收调剂研究生,福建农林大学,工学 -> 材料科学与工程  -> 材料学,10,2020-02-24 20:51,http://muchong.com/t-14093062-1
1068,东北石油大学韩连福招收1名计算机或者数学专业研究生,东北石油大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,1,2020-02-24 20:02,http://muchong.com/t-14092922-1
1069,东北石油大学韩连福招收1名计算机或者数学专业研究生,东北石油大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,1,2020-02-24 20:02,http://muchong.com/t-14092925-1
1070,青岛农业大学接收化学化工材料硕士研究生调剂,青岛农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-02-24 19:57,http://muchong.com/t-14092908-1
1071,青岛大学接收调剂研究生,青岛大学,工学 -> 环境科学与工程  -> 环境科学,4,2020-02-24 18:55,http://muchong.com/t-14092734-1
1072,西京学院接收调剂研究生(请进二群),西京学院,工学 -> 土木工程  -> 结构工程,30,2020-02-24 18:52,http://muchong.com/t-14092725-1
1073,东北农业大学应用化学（天然产物与分子修饰课题组）招收研究生调剂,东北农业大学,工学 -> 化学工程与技术  -> 应用化学,20,2020-02-24 18:37,http://muchong.com/t-14092677-1
1074,2020年东北石油大学非常规油气研究院招收硕士研究生,东北石油大学,工学 -> 石油与天然气工程  -> 油气田开发工程,100,2020-02-24 18:24,http://muchong.com/t-14092636-1
1075,燕山大学环化学院新能源材料课题组招收2020级硕士研究生,燕山大学,工学 -> 化学工程与技术  ,6,2020-02-24 18:12,http://muchong.com/t-14092606-1
1076,青岛科技大学化工学院“泰山学者”刘希恩教授有4名硕士招生名额,青岛科大,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-24 18:03,http://muchong.com/t-14092572-1
1077,北京工商大学理学院化学系招收2020年调剂生,北京工商大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-24 18:00,http://muchong.com/t-14092563-1
1078,北京工商大学理学院化学系招收2020年调剂生,北京工商大学,工学 -> 轻工技术与工程  ,2,2020-02-24 18:00,http://muchong.com/t-14092563-1
1079,燕山大学接收调剂研究生,燕山大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,3,2020-02-24 17:51,http://muchong.com/t-14092521-1
1080,燕山大学接收调剂研究生,燕山大学,工学 -> 仪器科学与技术  -> 测试计量技术及仪器,3,2020-02-24 17:51,http://muchong.com/t-14092522-1
1081,湖南科大接收调剂研究生,湖南科大,工学 -> 机械工程  -> 机械制造及其自动化,3,2020-02-24 17:46,http://muchong.com/t-14092501-1
1082,齐鲁工业大学 生物基材料与绿色造纸国家重点实验室  招收调剂硕士研究生,山东轻工,工学 -> 轻工技术与工程  ,6,2020-02-24 17:44,http://muchong.com/t-14092495-1
1083,东北石油大学《环境工程，环境科学，化学工程，化学，材料等相关学科》硕士调剂招生,东北石油大学,工学   ,10,2020-02-24 17:43,http://muchong.com/t-14092492-1
1084,大连工大接收调剂研究生,大连工大,工学   ,3,2020-02-24 16:57,http://muchong.com/t-14092326-1
1085,2020年集美大学计算机工程学院接收调剂研究生,集美大学,工学 -> 信息与通信工程  -> 通信与信息系统,4,2020-02-24 16:36,http://muchong.com/t-14092252-1
